"Uni"	"City"
"Vantage Career Center"	"Van Wert, OH"
"Vassar College"	"Poughkeepsie, NY"
"Vaughn College of Aeronautics and Technology"	"Flushing, NY"
"Veeb Nassau County School of Practical Nursing"	"Uniondale, NY"
"Ventura Adult and Continuing Education"	"Ventura, CA"
"Ventura College"	"Ventura, CA"
"Venus Beauty Academy"	"Sharon Hill, PA"
"Vermilion Community College"	"Ely, MN"
"Vermont College of Fine Arts"	"Montpelier, VT"
"Vermont Law School"	"South Royalton, VT"
"Vermont Technical College"	"Randolph Center, VT"
"Vernon College"	"Vernon, TX"
"Verve College"	"Oak Brook, IL"
"Victor Valley College"	"Victorville, CA"
"Victoria College"	"Victoria, TX"
"Villa Maria College"	"Buffalo, NY"
"Vincennes University"	"Vincennes, IN"
"Virginia Commonwealth University"	"Richmond, VA"
"Virginia Highlands Community College"	"Abingdon, VA"
"Virginia Military Institute"	"Lexington, VA"
"Virginia Polytechnic Institute and State University"	"Blacksburg, VA"
"Virginia School of Hair Design"	"Hampton, VA"
"Virginia State University"	"Petersburg, VA"
"Virginia Union University"	"Richmond, VA"
"Virginia University of Lynchburg"	"Lynchburg, VA"
"Virginia Western Community College"	"Roanoke, VA"
"Visible Music College"	"Memphis, TN"
"Viterbo University"	"La Crosse, WI"
"Volunteer State Community College"	"Gallatin, TN"
"Voorhees College"	"Denmark, SC"
"W Academy of Salon and Spa"	"Danville, CA"
"Wabash College"	"Crawfordsville, IN"
"Wabash Valley College"	"Mount Carmel, IL"
"Wade College"	"Dallas, TX"
"Wagner College"	"Staten Island, NY"
"Walla Walla Community College"	"Walla Walla, WA"
"Wallace State Community College - Hanceville"	"Hanceville, AL"
"Wallace State Community College-Dothan"	"Dothan, AL"
"Wallace State Community College-Selma"	"Selma, AL"
"Walsh College of Accountancy and Business Administration"	"Troy, MI"
"Warner Pacific College"	"Portland, OR"
"Warner Pacific College Adult Degree Program"	"Portland, OR"
"Warner University"	"Lake Wales, FL"
"Warren County Career Center"	"Lebanon, OH"
"Warren County Community College"	"Washington, NJ"
"Warren Wilson College"	"Swannanoa, NC"
"Wartburg College"	"Waverly, IA"
"Washburn Institute of Technology"	"Topeka, KS"
"Washburn University"	"Topeka, KS"
"Washington & Jefferson College"	"Washington, PA"
"Washington Adventist University"	"Takoma Park, MD"
"Washington and Lee University"	"Lexington, VA"
"Washington College"	"Chestertown, MD"
"Washington County Career Center-Adult Technical Training"	"Marietta, OH"
"Washington County Community College"	"Calais, ME"
"Washington Hospital School of Nursing"	"Washington, PA"
"Washington State Community College"	"Marietta, OH"
"Washington State University"	"Pullman, WA"
"Washington University in St. Louis"	"St. Louis, MO"
"Washington-Holmes Technical Center"	"Chipley, FL"
"Washtenaw Community College"	"Ann Arbor, MI"
"Watkins College of Art Design & Film"	"Nashville, TN"
"Watts School of Nursing"	"Durham, NC"
"Waukesha County Technical College"	"Pewaukee, WI"
"Wayland Baptist University"	"Plainview, TX"
"Wayne Community College"	"Goldsboro, NC"
"Wayne County Schools Career Center"	"Smithville, OH"
"Wayne Finger Lakes BOCES-School of Practical Nursing"	"Newark, NY"
"Wayne State College"	"Wayne, NE"
"Wayne State University"	"Detroit, MI"
"Waynesburg University"	"Waynesburg, PA"
"Weatherford College"	"Weatherford, TX"
"Webber International University"	"Babson Park, FL"
"Weber State University"	"Ogden, UT"
"Webster University"	"St. Louis, MO"
"Weill Cornell Medical College"	"New York, NY"
"Welch College"	"Nashville, TN"
"Wellesley College"	"Wellesley, MA"
"Wells College"	"Aurora, NY"
"Wenatchee Valley College"	"Wenatchee, WA"
"Wentworth Institute of Technology"	"Boston, MA"
"Wes Watkins Technology Center"	"Wetumka, OK"
"Wesleyan College"	"Macon, GA"
"Wesleyan University"	"Middletown, CT"
"West Chester University of Pennsylvania"	"West Chester, PA"
"West Coast Ultrasound Institute"	"Beverly Hills, CA"
"West Georgia Technical College"	"Waco, GA"
"West Hills College Coalinga"	"Coalinga, CA"
"West Hills College Lemoore"	"Lemoore, CA"
"West Liberty University"	"West Liberty, WV"
"West Los Angeles College"	"Culver City, CA"
"West Michigan College of Barbering and Beauty LLC"	"Kalamazoo, MI"
"West Shore Community College"	"Scottville, MI"
"West Texas A&M University"	"Canyon, TX"
"West Valley College"	"Saratoga, CA"
"West Virginia Northern Community College"	"Wheeling, WV"
"West Virginia School of Osteopathic Medicine"	"Lewisburg, WV"
"West Virginia State University"	"Institute, WV"
"West Virginia University at Parkersburg"	"Parkersburg, WV"
"West Virginia University Institute of Technology"	"Montgomery, WV"
"West Virginia Wesleyan College"	"Buckhannon, WV"
"Westchester School of Beauty Culture"	"Mount Vernon, NY"
"Western Area Career and Technology Center"	"Canonsburg, PA"
"Western Carolina University"	"Cullowhee, NC"
"Western Connecticut State University"	"Danbury, CT"
"Western Dakota Technical Institute"	"Rapid City, SD"
"Western Illinois University"	"Macomb, IL"
"Western Iowa Tech Community College"	"Sioux City, IA"
"Western Kentucky University"	"Bowling Green, KY"
"Western Michigan University"	"Kalamazoo, MI"
"Western Michigan University Cooley Law School"	"Lansing, MI"
"Western Nebraska Community College"	"Scottsbluff, NE"
"Western Nevada College"	"Carson City, NV"
"Western New England University"	"Springfield, MA"
"Western New Mexico University"	"Silver City, NM"
"Western Oklahoma State College"	"Altus, OK"
"Western Oregon University"	"Monmouth, OR"
"Western Piedmont Community College"	"Morganton, NC"
"Western Seminary"	"Portland, OR"
"Western State Colorado University"	"Gunnison, CO"
"Western Suffolk BOCES"	"Northport, NY"
"Western Technical College - TX"	"El Paso, TX"
"Western Technology Center"	"Burns Flat, OK"
"Western Texas College"	"Snyder, TX"
"Western University of Health Sciences"	"Pomona, CA"
"Western Washington University"	"Bellingham, WA"
"Western Wyoming Community College"	"Rock Springs, WY"
"Westfield State University"	"Westfield, MA"
"Westminster College - MO"	"Fulton, MO"
"Westminster College - PA"	"New Wilmington, PA"
"Westminster College - UT"	"Salt Lake City, UT"
"Westminster Theological Seminary"	"Glenside, PA"
"Westmont College"	"Santa Barbara, CA"
"Westmoreland County Community College"	"Youngwood, PA"
"Westside Tech"	"Winter Garden, FL"
"Wharton County Junior College"	"Wharton, TX"
"Whatcom Community College"	"Bellingham, WA"
"Wheaton College - IL"	"Wheaton, IL"
"Wheaton College - MA"	"Norton, MA"
"Wheeling University"	"Wheeling, WV"
"Wheelock College"	"Boston, MA"
"White Mountains Community College"	"Berlin, NH"
"Whitman College"	"Walla Walla, WA"
"Whittier College"	"Whittier, CA"
"Whitworth University"	"Spokane, WA"
"Whitworth University-Adult Degree Programs"	"Spokane, WA"
"Wichita State University"	"Wichita, KS"
"Wichita State University Tech"	"Wichita, KS"
"Wilberforce University"	"Wilberforce, OH"
"Wiley College"	"Marshall, TX"
"Wilkes Community College"	"Wilkesboro, NC"
"Wilkes-Barre Area Career and Technical Center Practical Nursing"	"Wilkes Barre, PA"
"Willamette University"	"Salem, OR"
"William James College"	"Boston, MA"
"William Jessup University"	"Rocklin, CA"
"William Jewell College"	"Liberty, MO"
"William Moore College of Technology"	"Memphis, TN"
"William Peace University"	"Raleigh, NC"
"William Penn University"	"West Des Moines, IA"
"William Woods University"	"Fulton, MO"
"Williams Baptist College"	"Walnut Ridge, AR"
"Williams College"	"Williamstown, MA"
"Williamsburg Technical College"	"Kingstree, SC"
"Williston State College"	"Williston, ND"
"Wilmington College"	"Wilmington, OH"
"Wilmington University"	"New Castle, DE"
"Wilson College"	"Chambersburg, PA"
"Wilson Community College"	"Wilson, NC"
"Windward Community College"	"Kaneohe, HI"
"Wingate University"	"Wingate, NC"
"Winona State University"	"Winona, MN"
"Winston-Salem State University"	"Winston-Salem, NC"
"Winter Park Tech"	"Winter Park, FL"
"Wisconsin Indianhead Technical College"	"Shell Lake, WI"
"Withlacoochee Technical Institute"	"Inverness, FL"
"Wittenberg University"	"Springfield, OH"
"Wofford College"	"Spartanburg, SC"
"Woodbury University"	"Burbank, CA"
"Woodland Community College"	"Woodland, CA"
"Woodruff Medical Training and Testing"	"Decatur, GA"
"Wor-Wic Community College"	"Salisbury, MD"
"World Mission University"	"Los Angeles, CA"
"The Wright Institute"	"Berkeley, CA"
"Wright State University-Lake Campus"	"Celina, OH"
"Wytheville Community College"	"Wytheville, VA"
"Xavier College School of Nursing"	"Stockton, CA"
"Xavier University"	"Cincinnati, OH"
"Xavier University of Louisiana"	"New Orleans, LA"
"Xcell Academy-A Paul Mitchell Partner School"	"Hoover, AL"
"Yale University"	"New Haven, CT"
"Yeshiva University"	"New York, NY"
"Yo San University of Traditional Chinese Medicine"	"Los Angeles, CA"
"York College"	"York, NE"
"York College of Pennsylvania"	"York, PA"
"York County Community College"	"Wells, ME"
"York County School of Technology Practical Nursing"	"York, PA"
"York Technical College"	"Rock Hill, SC"
"Young Harris College"	"Young Harris, GA"
"Yuba College"	"Marysville, CA"
"Zane State College"	"Zanesville, OH"
